decennio,genere_musicale,quota_legami_intra_genere,artisti,donne,uomini,quota_donne,legami,legami_FF,legami_MM,legami_MF,grado_medio_relativo_F,densita_FF,densita_MM,densita_MF,FF_su_MF,FF_su_MF_lo,FF_su_MF_hi,MM_su_MF,MM_su_MF_lo,MM_su_MF_hi,FF_su_MM,oe_FF_grado,z_FF_grado,oe_MM_grado,z_MM_grado,oe_MF_grado,z_MF_grado,affidabile
2010,Pop,0.524825264732696,1975,269,1706,0.1362025316455696,4305,176,3183,946,1.1068438618533822,0.004882649947289574,0.002188584021205131,0.0020613884082856483,2.3686220062478305,2.016594851442154,2.7821008292614047,1.0617038557159952,0.9873757819998564,1.1416272282464943,2.2309629879327053,1.8155560140292966,8.350388142380298,1.023822282721624,3.0459971353217012,0.8606869847023351,-6.26236342806578,True
2010,"Folk, World, & Country",0.524825264732696,406,56,350,0.13793103448275862,500,20,383,97,0.9932500000000001,0.012987012987012988,0.00627097830536226,0.004948979591836735,2.624179943767573,1.6216313919941459,4.246538646987935,1.2671255132484565,1.0140610838731772,1.5833435400090436,2.070970804652267,2.034587995930824,3.8244861087625113,1.0337828354260914,3.0238581888043874,0.8104540213558812,-3.769090704633852,True
2010,Classical,0.524825264732696,378,69,309,0.18253968253968253,496,18,345,133,0.9332924263674616,0.0076726342710997444,0.007250031521876182,0.006237981332958116,1.2299867315347193,0.751831588833908,2.012242345520386,1.1622400156234742,0.9515157774970041,1.419631587686108,1.0582897809407317,1.2258240261509126,1.0106339477173716,1.0218710013743424,1.4635287447166117,0.9255393180236605,-1.4933785749954533,True
2010,Jazz,0.524825264732696,914,85,829,0.09299781181619256,2485,18,2132,335,0.8026843413421707,0.005042016806722689,0.006212012610502147,0.00475413325764564,1.0605543710021321,0.6600540261362914,1.7040659238695086,1.3066551301463696,1.1644838245595979,1.466184066389704,0.8116559194034086,1.274065685164213,1.1198271311368952,1.0024826963587121,1.2889878883911177,0.9734070991887306,-1.276046436286864,True
2010,Hip Hop,0.524825264732696,657,32,625,0.0487062404870624,4844,2,4663,179,0.38782191886870354,0.004032258064516129,0.023912820512820513,0.00895,0.4505316273202379,0.11180741408129666,1.815431909267065,2.6718235209855323,2.301310144209324,3.101989944838224,0.16862327312473624,0.998003992015968,-0.002988432479847953,0.999548134791306,-0.9478367004676393,1.0119397584912486,0.6647017606371345,False
2010,Stage & Screen,0.524825264732696,165,26,139,0.15757575757575756,509,6,418,85,0.6046924588181956,0.018461538461538463,0.04358252528412053,0.023519645821804096,0.7849411764705883,0.34298354731394054,1.7963912710806245,1.8530264279624893,1.4675769948321078,2.3397116163709297,0.4235995583364005,1.3003901170351106,0.6321839426058616,1.0156872655171745,0.6136909777617973,0.9155339178389091,-0.7862469222420817,False
2020,(all genres),0.49142532651902326,13943,1529,12414,0.10966076167252385,35220,700,28302,6218,0.9862121824918878,0.0005992350336770089,0.0003673318836560168,0.0003275906450901496,1.8292190044441152,1.6917260862537529,1.9778864873031374,1.1213137162538045,1.0909512242831163,1.1525212330965038,1.6313177819275684,1.727294711023595,15.124663573061389,1.0086882191830817,3.81667230795889,0.9202965195978166,-8.275023158554246,True
2020,Electronic,0.49142532651902326,2970,364,2606,0.12255892255892256,5539,185,4288,1066,1.0576650285984102,0.002800230072957346,0.001263288763712266,0.0011237802872492051,2.4917949751652637,2.1316516156677117,2.9127846936254436,1.12414212817752,1.05120883921228,1.2021355578501696,2.2166191558046204,2.0012981393336218,11.14968459956462,1.020889183050573,5.529955287868895,0.8553317820749419,-8.886699481094839,True
2020,Rock,0.49142532651902326,3002,213,2789,0.0709526982011992,5070,51,4462,557,0.9159642933207397,0.002258836035078395,0.001147673299439847,0.000937620464029546,2.409115544866366,1.8085313991792837,3.2091440110747125,1.224027571356081,1.1208280326571662,1.3367291429069228,1.9681873196674358,2.4253376450447024,6.929385021911191,1.0067625926551005,6.929385021911159,0.9028372105085714,-6.929385021911189,True
2020,Pop,0.49142532651902326,1029,148,881,0.14382896015549076,1881,89,1264,528,1.3047868442605284,0.008181651038793897,0.0032607574037767,0.004049452403595423,2.020433931148217,1.6140139820252108,2.529193250861983,0.8052341597796143,0.7274682371483778,0.8913132133681465,2.5091259562326473,1.3488936041224613,3.156982937467381,1.0080259279580457,0.7914962315609099,0.9410355668669933,-2.0936710176792808,True
2020,"Folk, World, & Country",0.49142532651902326,198,36,162,0.18181818181818182,221,5,161,55,0.8088235294117647,0.007936507936507936,0.012345679012345678,0.009430727023319615,0.8415584415584416,0.3368846888292172,2.102264169439008,1.309090909090909,0.9638834221318913,1.7779318213338555,0.6428571428571429,1.0351966873706004,0.08924706296593826,0.9983629328306379,-0.07296134282104938,1.0017120169016136,0.020033038500233635,False
2020,Classical,0.49142532651902326,131,27,104,0.20610687022900764,121,11,75,35,1.142791551882461,0.03133903133903134,0.014002987303958178,0.012464387464387465,2.5142857142857142,1.276977617178966,4.950464728603978,1.1234396671289875,0.7521423474361905,1.6780290193485805,2.238024691358025,1.799738219895288,2.14562783132229,1.0363123860056376,0.6018324757215424,0.8232194938376141,-1.6340653324812988,False
2020,Jazz,0.49142532651902326,569,54,515,0.09490333919156414,1072,10,887,175,0.9583592454394694,0.0069881201956673656,0.006701673529522874,0.006292700467457749,1.110512129380054,0.5871658932004806,2.1003215680294085,1.0649916620344637,0.9056038084842544,1.2524320564655063,1.042742557494424,1.1870845204178537,0.5825516573232074,0.9994546380554465,-0.06711500960393645,0.9937986961361106,-0.1367404835420936,True
2020,Hip Hop,0.49142532651902326,572,34,538,0.05944055944055944,3049,15,2656,378,1.1256149557231878,0.026737967914438502,0.01838660325503797,0.0206647714848021,1.2938912938912939,0.7723179031319453,2.1677015042880194,0.8897559437596682,0.7988718283989339,0.9909795430416937,1.4542092165453255,1.2626262626262625,0.9679186602925104,0.9972874981601246,-0.40762069182305743,1.0109763142692085,0.2352281691136087,True
