musical_genre,cohort_decade,n_artisti,n_noti,n_donne,quota_donne,ci_lo,ci_hi,rapporto_uomini_donne
Rock,2020,1360,760.0,159.0,0.20921052631578949,0.1817905442006306,0.23955545214206667,3.779874213836478
Stage & Screen,1940,14,11.0,2.0,0.18181818181818182,0.05136660067100063,0.4769861375782448,4.5
Stage & Screen,1950,47,39.0,7.0,0.1794871794871795,0.08977151811469994,0.3266835162444276,4.571428571428571
Stage & Screen,1960,185,156.0,21.0,0.1346153846153846,0.08976012076172954,0.19703380522499728,6.428571428571429
Stage & Screen,1970,153,117.0,28.0,0.23931623931623933,0.17107945919158846,0.3241274894088936,3.1785714285714284
Stage & Screen,1980,72,64.0,18.0,0.28125,0.18593226105484584,0.40134162399503504,2.5555555555555554
Stage & Screen,1990,76,67.0,14.0,0.208955223880597,0.12875568729828915,0.32072032679512485,3.7857142857142856
Stage & Screen,2000,75,64.0,10.0,0.15625,0.08714748876961673,0.26428290202305327,5.4
Stage & Screen,2010,49,41.0,9.0,0.21951219512195122,0.12003040155386346,0.36705302098235293,3.5555555555555554
Stage & Screen,2020,11,8.0,0.0,0.0,0.0,0.3244156195108769,
Unknown,1940,958,559.0,98.0,0.17531305903398928,0.1460377137672692,0.209020618808006,4.704081632653061
Unknown,1950,247,135.0,37.0,0.2740740740740741,0.20586703399126582,0.3547833762604168,2.6486486486486487
Unknown,1960,1018,617.0,150.0,0.24311183144246354,0.21092089828920174,0.2784818736899956,3.1133333333333333
Unknown,1970,1243,886.0,155.0,0.17494356659142213,0.1513448359606246,0.20134894684296656,4.716129032258064
Unknown,1980,2302,1812.0,194.0,0.10706401766004416,0.0936494206488068,0.12214120778486276,8.34020618556701
Unknown,1990,4200,2981.0,322.0,0.10801744381080175,0.09737473989167551,0.11966913942171918,8.25776397515528
Unknown,2000,6522,4225.0,510.0,0.12071005917159763,0.11122921442157757,0.13088001946412764,7.284313725490196
Unknown,2010,7502,4550.0,601.0,0.1320879120879121,0.12255924162720176,0.14223732046665766,6.570715474209651
Unknown,2020,2481,1153.0,208.0,0.18039895923677363,0.1592765285030879,0.20364403037031356,4.543269230769231
