step,seconds
classificazione ruoli,12.69
"coppie a livello traccia (914,334 tracce)",1.01
"coppie a livello release (607,086 release)",1.98
"coppie a livello traccia (605,270 tracce)",0.64
"coppie a livello release (328,487 release)",0.87
"coppie a livello traccia (370,887 tracce)",0.25
"coppie a livello release (407,965 release)",0.67
null model gender (500 repliche),13.39
null model musical_genre (500 repliche),13.27
mixing e assortativita' globale,27.04
quota donne,0.11
assortativita' per strato,148.83
omofilia per genere musicale,12.74
assortativita' solo M/F,279.89
eigenvector,3.5
betweenness,1358.58
coreness e grado,64.92
OLS eigenvector,0.64
OLS coreness,0.68
OLS betweenness,0.67
datazione degli archi,3.29
"periodo 1950s (14,030 archi)",2.08
"periodo 1960s (41,633 archi)",4.42
"periodo 1970s (43,648 archi)",4.7
"periodo 1980s (50,599 archi)",5.45
"periodo 1990s (77,829 archi)",8.33
"periodo 2000s (85,820 archi)",9.23
"periodo 2010s (77,818 archi)",8.53
"periodo 2020s (32,746 archi)",3.77
logit diadico,2.65
bootstrap sui nodi (B=200),137.66
logit diadico completo,148.04
permutazioni QAP (n=1000),53.34
QAP,54.01
permutazione esatta,0.01
passata 1a (derivate),219.45
passata 1b (ricerca di linea),359.32
passata 2a (derivate),218.34
passata 2b (ricerca di linea),354.04
passata 3a (derivate),222.88
passata 3b (ricerca di linea),356.06
passata 4a (derivate),218.5
passata 4b (ricerca di linea),352.54
passata 5a (derivate),218.66
passata 5b (ricerca di linea),362.49
passata 6a (derivate),235.84
passata 6b (ricerca di linea),391.82
passata 7a (derivate),238.7
passata 7b (ricerca di linea),395.52
passata 8a (derivate),236.72
passata 8b (ricerca di linea),393.01
passata 9a (derivate),235.42
passata 9b (ricerca di linea),392.56
passata 10a (derivate),235.69
passata 10b (ricerca di linea),398.3
passata 11a (derivate),235.78
passata finale (errori standard),236.21
logit esatto su tutte le diadi,6507.89
passata 1a (derivate),0.01
passata 1b (ricerca di linea),0.02
passata finale (errori standard),0.02
"periodo 1930s (152 nodi, 11,476 diadi)",0.06
passata 1a (derivate),0.06
"periodo 1940s (337 nodi, 56,616 diadi)",0.06
passata 1a (derivate),0.44
passata 1b (ricerca di linea),0.62
passata 2a (derivate),0.46
passata 2b (ricerca di linea),0.61
passata 3a (derivate),0.46
passata 3b (ricerca di linea),0.62
passata 4a (derivate),0.46
passata 4b (ricerca di linea),0.62
passata 5a (derivate),0.46
passata 5b (ricerca di linea),0.62
passata 6a (derivate),0.46
passata 6b (ricerca di linea),0.62
passata finale (errori standard),0.47
"periodo 1950s (1,437 nodi, 1,031,766 diadi)",6.98
passata 1a (derivate),2.66
passata 1b (ricerca di linea),3.96
passata 2a (derivate),2.62
passata 2b (ricerca di linea),4.2
passata 3a (derivate),2.64
passata 3b (ricerca di linea),4.03
passata 4a (derivate),2.63
passata 4b (ricerca di linea),4.09
passata 5a (derivate),2.72
passata 5b (ricerca di linea),4.12
passata 6a (derivate),2.7
passata 6b (ricerca di linea),4.1
passata finale (errori standard),2.62
"periodo 1960s (4,547 nodi, 10,335,331 diadi)",43.11
passata 1a (derivate),5.29
passata 1b (ricerca di linea),8.41
passata 2a (derivate),5.3
passata 2b (ricerca di linea),8.34
passata 3a (derivate),5.33
passata 3b (ricerca di linea),8.31
passata 4a (derivate),5.3
passata 4b (ricerca di linea),8.42
passata 5a (derivate),5.27
passata 5b (ricerca di linea),8.39
passata 6a (derivate),5.24
passata 6b (ricerca di linea),8.37
passata finale (errori standard),5.25
"periodo 1970s (6,774 nodi, 22,940,151 diadi)",87.27
passata 1a (derivate),12.09
passata 1b (ricerca di linea),20.21
passata 2a (derivate),12.05
passata 2b (ricerca di linea),19.84
passata 3a (derivate),12.14
passata 3b (ricerca di linea),19.74
passata 4a (derivate),12.15
passata 4b (ricerca di linea),19.91
passata 5a (derivate),12.3
passata 5b (ricerca di linea),19.85
passata finale (errori standard),12.09
"periodo 1980s (10,810 nodi, 58,422,645 diadi)",172.38
passata 1a (derivate),24.74
passata 1b (ricerca di linea),42.62
passata 2a (derivate),25.01
passata 2b (ricerca di linea),42.48
passata 3a (derivate),25.0
passata 3b (ricerca di linea),42.84
passata 4a (derivate),25.05
passata 4b (ricerca di linea),42.96
passata 5a (derivate),24.95
passata 5b (ricerca di linea),42.47
passata 6a (derivate),24.91
passata 6b (ricerca di linea),42.85
passata finale (errori standard),25.3
"periodo 1990s (16,205 nodi, 131,292,910 diadi)",431.19
passata 1a (derivate),36.74
passata 1b (ricerca di linea),63.4
passata 2a (derivate),36.26
passata 2b (ricerca di linea),63.79
passata 3a (derivate),37.03
passata 3b (ricerca di linea),64.0
passata 4a (derivate),36.53
passata 4b (ricerca di linea),63.22
passata 5a (derivate),36.92
passata 5b (ricerca di linea),63.8
passata 6a (derivate),36.8
passata finale (errori standard),36.77
"periodo 2000s (19,872 nodi, 197,438,256 diadi)",575.29
passata 1a (derivate),47.21
